Item,Qty,Selected,Category,Sub-Category,Weight,UOM,Notes
shirts - dress,0,FALSE,Clothes,shirts,0,lbs,
shirts - casual,0,FALSE,Clothes,shirts,0,lbs,
shirts - T-shirts,0,FALSE,Clothes,shirts,0,lbs,
sweaters,0,FALSE,Clothes,sweaters,0,lbs,
pants - dress,0,FALSE,Clothes,pants,0,lbs,
pants - casual,0,FALSE,Clothes,pants,0,lbs,
shorts,0,FALSE,Clothes,shorts,0,lbs,
shorts - swim,0,FALSE,Clothes,shorts,0,lbs,
underwear,0,FALSE,Clothes,underwear,0,lbs,
undershirts,0,FALSE,Clothes,underwear,0,lbs,
long underwear - tops,0,FALSE,Clothes,underwear,0,lbs,
long underwear - bottoms,0,FALSE,Clothes,underwear,0,lbs,
socks - dress,0,FALSE,Clothes,underwear,0,lbs,
socks - casual,0,FALSE,Clothes,underwear,0,lbs,
jackets - blazer/suit jacket,0,FALSE,Clothes,jackets,0,lbs,
jackets - light raincoat,0,FALSE,Clothes,jackets,0,lbs,
jackets - light indoor,0,FALSE,Clothes,jackets,0,lbs,
jackets - light outdoor,0,FALSE,Clothes,jackets,0,lbs,
coats - med/heavy outdoor winter,0,FALSE,Clothes,coats,0,lbs,
shoes - casual,0,FALSE,Clothes,shoes,0,lbs,
shoes - gym shoes,0,FALSE,Clothes,shoes,0,lbs,
shoes - workout,0,FALSE,Clothes,shoes,0,lbs,
shoes - flip-flops,0,FALSE,Clothes,shoes,0,lbs,
shoes - water shoes,0,FALSE,Clothes,shoes,0,lbs,
leather belt,0,FALSE,Clothes,accessories,0,lbs,
canvas belt,0,FALSE,Clothes,accessories,0,lbs,
neckties,0,FALSE,Clothes,accessories,0,lbs,
shirt - sleep,0,FALSE,Clothes,sleep,0,lbs,
shorts - sleep,0,FALSE,Clothes,sleep,0,lbs,
long john top - sleep,0,FALSE,Clothes,sleep,0,lbs,
long john bottom - sleep,0,FALSE,Clothes,sleep,0,lbs,
socks - sleep,0,FALSE,Clothes,sleep,0,lbs,
hat - sleep,0,FALSE,Clothes,sleep,0,lbs,
eye mask,0,FALSE,Clothes,sleep,0,lbs,
wool buff,0,FALSE,Clothes,sleep,0,lbs,
packing cube - sleep clothes,0,FALSE,Clothes,sleep,0,lbs,
shorts - workout,0,FALSE,Workout,Clothes,0,lbs,
shirts - workout,0,FALSE,Workout,Clothes,0,lbs,
resistance bands,0,FALSE,Workout,equipment,0,lbs,
Antler bag,0,FALSE,Luggage,Primary,0,lbs,
Tumi duffel,0,FALSE,Luggage,Primary,0,lbs,
Tumi carry-on wheeled suitcase,0,FALSE,Luggage,Primary,0,lbs,
Tumi garment bag,0,FALSE,Luggage,Primary,0,lbs,
Tumi large olive suitcase,0,FALSE,Luggage,Primary,0,lbs,
Tumi briefcase,0,FALSE,Luggage,Secondary,0,lbs,
Samsonite briefcase,0,FALSE,Luggage,Secondary,0,lbs,
Tumi backpack,0,FALSE,Luggage,Secondary,0,lbs,
Lipault bag,0,FALSE,Luggage,Secondary,0,lbs,
Eddie Bauer daypack,0,FALSE,Luggage,Packable,0,lbs,
Tumi briefcase,0,FALSE,Luggage,Packable,0,lbs,
Kensington laptop cable lock,0,FALSE,Luggage,Locks,0,lbs,
TSA luggage locks - standard,0,FALSE,Luggage,Locks,0,lbs,
TSA luggage locks - cable,0,FALSE,Luggage,Locks,0,lbs,
toothbrush,0,FALSE,Toiletries,teeth care,0,lbs,
toothbrush cover,0,FALSE,Toiletries,teeth care,0,lbs,
toothpaste,0,FALSE,Toiletries,teeth care,0,lbs,
floss picks,0,FALSE,Toiletries,teeth care,0,lbs,
Ivory bar soap,0,FALSE,Toiletries,soap,0,lbs,
Neutragena soap bar,0,FALSE,Toiletries,soap,0,lbs,
shave soap bar,0,FALSE,Toiletries,soap,0,lbs,
soap containers,0,FALSE,Toiletries,soap,0,lbs,
meds,0,FALSE,Toiletries,meds,0,lbs,
meds case,0,FALSE,Toiletries,meds,0,lbs,
eyeglasses (pair),0,FALSE,Toiletries,eye care,0,lbs,
eyeglass case,0,FALSE,Toiletries,eye care,0,lbs,
spare contacts (pair),0,FALSE,Toiletries,eye care,0,lbs,
empty contacts case,0,FALSE,Toiletries,eye care,0,lbs,
contact lens fluid (bottle),0,FALSE,Toiletries,eye care,0,lbs,
pouch for contacts stuff,0,FALSE,Toiletries,eye care,0,lbs,
Philips Norelco OneBlade,0,FALSE,Toiletries,hair care,0,lbs,
OneBlade guard,0,FALSE,Toiletries,hair care,0,lbs,
OneBlade charger,0,FALSE,Toiletries,hair care,0,lbs,
Gillette Fusion ProGlide,0,FALSE,Toiletries,hair care,0,lbs,
ProGlide trim guard,0,FALSE,Toiletries,hair care,0,lbs,
ProGlide battery,0,FALSE,Toiletries,hair care,0,lbs,
Braun electric razor,0,FALSE,Toiletries,hair care,0,lbs,
case for Braun electric razor,0,FALSE,Toiletries,hair care,0,lbs,
brush for Braun electric razor,0,FALSE,Toiletries,hair care,0,lbs,
charger for Braun electric razor,0,FALSE,Toiletries,hair care,0,lbs,
Panasonic travel electric razor,0,FALSE,Toiletries,hair care,0,lbs,
Andis clippers,0,FALSE,Toiletries,hair care,0,lbs,
brush for Andis clippers,0,FALSE,Toiletries,hair care,0,lbs,
pouch for Andis clippers,0,FALSE,Toiletries,hair care,0,lbs,
unbreakable mirror,0,FALSE,Toiletries,hair care,0,lbs,
Tweezerman tweezers,0,FALSE,Toiletries,hair care,0,lbs,
hairbrush,0,FALSE,Toiletries,hair care,0,lbs,
shampoo - travel bottle,0,FALSE,Toiletries,other,0,lbs,
lotion - travel bottle,0,FALSE,Toiletries,other,0,lbs,
deodorant,0,FALSE,Toiletries,other,0,lbs,
sunscreen,0,FALSE,Toiletries,other,0,lbs,
toiletries kit container/pouch,0,FALSE,Toiletries,other,0,lbs,
clear bag for carry-on liquids,0,FALSE,Toiletries,other,0,lbs,
first aid kit,0,FALSE,Toiletries,first aid,0,lbs,
dirty clothes bag,0,FALSE,Utility Items,laundry,0,lbs,
dry bag,0,FALSE,Utility Items,laundry,0,lbs,
sink stopper,0,FALSE,Utility Items,laundry,0,lbs,
cold water laundry detergent pouches,0,FALSE,Utility Items,laundry,0.25,oz,(0.25 oz each) Put in travel bottle instead?
travel clothes line,0,FALSE,Utility Items,laundry,0,lbs,
inflatable hangers,0,FALSE,Utility Items,laundry,0,lbs,
collapsible hangers,0,FALSE,Utility Items,laundry,0,lbs,
keys - car/house,0,FALSE,Utility Items,EDC,0,lbs,
travel wallet,0,FALSE,Utility Items,EDC,0,lbs,slim
driver's license,0,FALSE,Utility Items,EDC,0,lbs,
passport card,0,FALSE,Utility Items,EDC,0,lbs,
Corporate credit card,0,FALSE,Utility Items,EDC,0,lbs,
credit card,0,FALSE,Utility Items,EDC,0,lbs,
debit card,0,FALSE,Utility Items,EDC,0,lbs,
security wallet,0,FALSE,Utility Items,EDC,0,lbs,
cash,0,FALSE,Utility Items,EDC,0,lbs,
Dohickey,0,FALSE,Utility Items,EDC,0,lbs,
Photon Freedom keychain flashlight,0,FALSE,Utility Items,EDC,0,lbs,
security whistle,0,FALSE,Utility Items,EDC,0,lbs,
wedding ring - original,0,FALSE,Utility Items,EDC,0,lbs,
wedding ring - silicon,0,FALSE,Utility Items,EDC,0,lbs,
Skullcandy earpiece,0,FALSE,Utility Items,EDC,0,lbs,
Skullcandy earpiece case,0,FALSE,Utility Items,EDC,0,lbs,
sleep mask,0,FALSE,Utility Items,en route,0,lbs,
neck pillow - inflatable,0,FALSE,Utility Items,en route,0,lbs,
neck pillow - rigid,0,FALSE,Utility Items,en route,0,lbs,
Kindle books downloaded to iPhone,0,FALSE,Utility Items,en route,0,lbs,
movies - downloaded to iPhone,0,FALSE,Utility Items,en route,0,lbs,
notebook,0,FALSE,Utility Items,en route,0,lbs,
pen,0,FALSE,Utility Items,en route,0,lbs,
compression socks,0,FALSE,Utility Items,en route,0,lbs,
snacks,0,FALSE,Utility Items,en route,0,lbs,
Passport,0,FALSE,Papers/Books/Documents,Travel Documents,0,lbs,
plane tickets/boarding pass,0,FALSE,Papers/Books/Documents,Travel Documents,0,lbs,electronic or physical
hotel reservations info,0,FALSE,Papers/Books/Documents,Travel Documents,0,lbs,
rental car info,0,FALSE,Papers/Books/Documents,Travel Documents,0,lbs,
neck hanger for travel docs,0,FALSE,Papers/Books/Documents,Travel Documents,0,lbs,
iPhone,0,FALSE,Electronics,EDC,0,lbs,
Apple AirPods with case,0,FALSE,Electronics,EDC,0,lbs,
Apple Watch,0,FALSE,Electronics,EDC,0,lbs,
other bluetooth earpiece,0,FALSE,Electronics,EDC,0,lbs,
case for other bluethooth earpiece,0,FALSE,Electronics,EDC,0,lbs,
iPad,0,FALSE,Electronics,computers,0,lbs,
Macbook Air,0,FALSE,Electronics,computers,0,lbs,
work laptop,0,FALSE,Electronics,computers,0,lbs,
iPhone/iPad charger,0,FALSE,Electronics,chargers and cables,0,lbs,
iPhone/iPad charging cable,0,FALSE,Electronics,chargers and cables,0,lbs,
Macbook Air charger,0,FALSE,Electronics,chargers and cables,0,lbs,
Macbook Air external battery,0,FALSE,Electronics,chargers and cables,0,lbs,
Apple Watch charger/cable,0,FALSE,Electronics,chargers and cables,0,lbs,
work laptop charger,0,FALSE,Electronics,chargers and cables,0,lbs,
HooToo charger/router/external battery,0,FALSE,Electronics,chargers and cables,0,lbs,
external battery,0,FALSE,Electronics,chargers and cables,0,lbs,
power splitter/surge protector,0,FALSE,Electronics,chargers and cables,0,lbs,
international power adapter,0,FALSE,Electronics,chargers and cables,0,lbs,
international voltage converter,0,FALSE,Electronics,chargers and cables,0,lbs,
Nikon DSLR,0,FALSE,Electronics,camera,0,lbs,
camera case,0,FALSE,Electronics,camera,0,lbs,
18-200 lens,0,FALSE,Electronics,camera,0,lbs,
case for lens,0,FALSE,Electronics,camera,0,lbs,
external flash,0,FALSE,Electronics,camera,0,lbs,
case for external flash,0,FALSE,Electronics,camera,0,lbs,
batteries for external flash,0,FALSE,Electronics,camera,0,lbs,
charger for Nikon camera,0,FALSE,Electronics,camera,0,lbs,
charging cord for Nikon camera,0,FALSE,Electronics,camera,0,lbs,
